id	title	has_explanation_evaluation	has_significance_testing	is_xai_interpretable	checked	verified	notes	Gemini	main_venue_match	Risk
chrysostomou-aletras-2021-enjoy	Enjoy the Salience: Towards Better Transformer-based Faithful Explanations with Word Salience	TRUE	TRUE	TRUE	✔	TRUE	Table 3. evaluate the model improvement over saliency regularization, however the significant test is more on evaluating performance not explanation evaluation. Table 2: Average fraction of tokens required to cause a decision flip across datasets and feature attribution metrics (lower is better). Bold denotes the best method in each dataset. † denotes a significant difference compared to BASELINE using the same attribution metric (Wilcoxon Rank Sum, p < .05)		EMNLP	
kaster-etal-2021-global	Global Explainability of {BERT}-Based Evaluation Metrics by Disentangling along Linguistic Factors	TRUE	TRUE	TRUE	✔	TRUE	Table 3: Regression results for reference-based metrics. Coefficient values for linguistic regressors and R2 values.* denotes p ≥ 0.05 (non-significance). Intercept coefficients are small values and we omit them for clarity.		EMNLP	
sanyal-ren-2021-discretized	Discretized Integrated Gradients for Explaining Language Models	TRUE	TRUE	TRUE	✔	TRUE	"Comp, Suff, word-approximation error. We find
that DIG has a significantly lower mean rank com-
pared to IG (p < .001 on both SST2 and Rotten
Tomatoes 5)."		EMNLP	
opitz-frank-2021-towards	Towards a Decomposable Metric for Explainable Evaluation of Text Generation from {AMR}	TRUE	TRUE	TRUE	✔	TRUE	"The results are shown in Table 2 (columns la-
belled GPLA, TTSA and GSII). All variants tend
to agree in the majority of their rankings11 (e.g.,
RESMATCH GP LA vs. RESMATCH GSII F1: Spear-
man’s ρ = 0.95, Pearson’s ρ = 0.96, p<0.001).
When considering MFβ=0.5, the agreement fur-
ther increases (e.g., MFGP LA 0.5 vs. MFGSII 0.5 : Spearman’s ρ = 0.95, Pearson’s ρ = 0.99, p<0.001)."		EACL	
moradi-etal-2021-measuring	Measuring and Improving Faithfulness of Attention in Neural Machine Translation	TRUE	TRUE	TRUE	✔	TRUE	"Table 1: Faithfulness metric for the generated content and function words through different objectives. Columns are different stress-tests included in the Eq.(1). Table 3: BLEU score of the baseline and the model
trained with Fall. Pairwise bootstrap resampling
(Koehn, 2004) resulted in a p-value < 0.01 which indicates the statistical significance of the observed difference."		EACL	
feder-etal-2021-causalm	{C}ausa{LM}: Causal Model Explanation Through Counterfactual Language Models	TRUE	TRUE	TRUE	✔	TRUE	"We compare
TReATE(O, CF) to the ground truth ATEgt (O) and the baseline CONEXP(O). Confidence
intervals ([CI]), computed using the standard deviations of ITEgt (O), TReITE(O, CF), and
CONEXP, are provided in square brackets."		Computational Linguistics (CL)	
rashkin-etal-2021-increasing	Increasing Faithfulness in Knowledge-Grounded Dialogue with Controllable Features	TRUE	TRUE	TRUE	✔	TRUE	"Human Quality Ratings, indicates that this result is significantly different from the best result in
that column (bolded) with p-value < 0.05, < 0.01, < 0.001 respectively."		ACL	
atanasova-etal-2020-diagnostic	A Diagnostic Study of Explainability Techniques for Text Classification	TRUE	TRUE	TRUE	✔	TRUE	"Diagnostic property performance, Agreement with human rationales. Table 9: Dataset Consistency results with Spearman ρ. The estimated p-value for the correlation is provided in the brackets. Dataset Consistency (DC). ataset Consistency compares explana-
tions for pairs of instances on the same model. "		EMNLP	
chen-ji-2020-learning	Learning Variational Word Masks to Improve the Interpretability of Neural Text Classifiers	TRUE	TRUE	TRUE	✔	TRUE	Local interpretability: AOPC, proxy agreement Table 11 shows the Pearson correlation coefficients between word frequency and global word importance of VMASK-based models.		EMNLP	
yang-etal-2020-generating	Generating Plausible Counterfactual Explanations for Deep Transformers in Financial Text Classification	TRUE	TRUE	TRUE	✔	TRUE	"Human Evaluation for the Explanation: Qualitative, We randomly sample 100 examples from the testing set for 5 participants to answer (20 examples per person). By combining the REP-SCD, RM-SCD, INS-SCD together, our method achieves significantly higher ranking score compared to HotFlip, more specifically, 2.35 score improvements (4.35/2.00) were made regarding plausibility while 0.85 score improvements (4.00/3.15) were made on reasonableness, showing a p-value less than 0.001 and 0.05, respectively.
Hence, there is compelling evidence that our method can generate counterfactual explanations which are more plausible and reasonable."		COLING	
jain-etal-2020-learning	{L}earning to Faithfully Rationalize by Construction	TRUE	TRUE	TRUE	✔	TRUE	"We also ran a t-test to determine if global
heuristics provided results significantly different
from instance-level methods, finding that they did
not."		ACL	
durmus-etal-2020-feqa	{FEQA}: A Question Answering Evaluation Framework for Faithfulness Assessment in Abstractive Summarization	TRUE	TRUE	TRUE	✔	TRUE	Question generation. Answer verification. Pearson (P) and Spearman (S) correlation between human-annotated faithfulness scores and ROUGE scores of content selection (computed between the reference and the output sentence). Pearson (P) and Spearman (S) correlation between human-annotated faithfulness scores and the metric scores		ACL	
hase-bansal-2020-evaluating	Evaluating Explainable {AI}: Which Algorithmic Explanations Help Users Predict Model Behavior?	TRUE	TRUE	TRUE	✔	TRUE	Improving Forward Test Design. Simulatability, CI		ACL	
subramanian-etal-2020-obtaining	Obtaining Faithful Interpretations from Compositional Neural Networks	TRUE	TRUE	TRUE	✔	TRUE	"Faithfulness, We perform a paired permutation test to test the
hypothesis H0: NMN w/ Graph-count + decont. +
pretraining has the same inherent faithfulness as
NMN w/ Layer-count. "		ACL	
